"","name1","name2","street1","street2","city","state","zip","zip4","category","countyGEOID","countyName","source","geom","Longitude","Latitude"
"7743","Project Reality","Utah County Program Site","151 South University Avenue","Suite 1400","Provo","UT","84606",NA,"naltrexone/vivitrol","49049","Utah","SAMHSA",c(-111.6582149, 40.2316395),-111.6582149,40.2316395
"7744","Utah County Department of Drug and","Alcohol Prevention and Treatment","151 South University Avenue","Suite 3200","Provo","UT","84601",NA,"naltrexone/vivitrol","49049","Utah","SAMHSA",c(-111.6582149, 40.2316395),-111.6582149,40.2316395
"7745","New Roads Behavioral Health","PATH program","1530 South 500 West",NA,"Provo","UT","84601",NA,"naltrexone/vivitrol","49049","Utah","SAMHSA",c(-111.6680288, 40.2134184),-111.6680288,40.2134184
"7746","New Roads Behavioral Health","North Program","1530 South 500 West","North Program","Provo","UT","84601",NA,"naltrexone/vivitrol","49049","Utah","SAMHSA",c(-111.6680288, 40.2134184),-111.6680288,40.2134184
"7747","Cold Creek Behavioral Health","Lodge","8155 South Brighton Loop Road",NA,"Salt Lake City","UT","84121",NA,"naltrexone/vivitrol","49035","Salt Lake","SAMHSA",c(-111.5844208, 40.6010191),-111.5844208,40.6010191
"7748","Horizon Health and Wellness","Globe Office","415 West Baseline Spur",NA,"Globe","AZ","85501",NA,"naltrexone/vivitrol","04007","Gila","SAMHSA",c(-110.7750598, 33.3787078),-110.7750598,33.3787078
"7749","Western PA Adult and Teen Challenge",NA,"220 Challenge Lane",NA,"Cheswick","PA","15024",NA,"naltrexone/vivitrol","42003","Allegheny","SAMHSA",c(-79.8299003, 40.5708209),-79.8299003,40.5708209
"7750","Ardu Recovery Center",NA,"1053 West 1020 South",NA,"Provo","UT","84601",NA,"naltrexone/vivitrol","49049","Utah","SAMHSA",c(-111.6767857, 40.2196319),-111.6767857,40.2196319
"7751","Spinal Interventions",NA,"280 West River Park Drive","Suite 200","Provo","UT","84604",NA,"naltrexone/vivitrol","49049","Utah","SAMHSA",c(-111.6620201, 40.3044635),-111.6620201,40.3044635
"7752","Pomarri Outpatient Services",NA,"1472 East 820 North",NA,"Orem","UT","84097",NA,"naltrexone/vivitrol","49049","Utah","SAMHSA",c(-111.66071, 40.312562),-111.66071,40.312562
"7753","Stepping Stones Unit at","Meadville Medical Center","1034 Grove Street",NA,"Meadville","PA","16335",NA,"naltrexone/vivitrol","42039","Crawford","SAMHSA",c(-80.1457368, 41.6333812),-80.1457368,41.6333812
"7754","Fellowship Hall Inc",NA,"5140 Dunstan Road",NA,"Greensboro","NC","27405",NA,"naltrexone/vivitrol","37081","Guilford","SAMHSA",c(-79.7287046, 36.1478777),-79.7287046,36.1478777
"7755","Community Bridges Inc","Transition Point Residential","5734 East Hope Lane",NA,"Globe","AZ","85501",NA,"naltrexone/vivitrol","04007","Gila","SAMHSA",c(-110.8138249, 33.4027201),-110.8138249,33.4027201
"7756","Community Bridges Inc","Globe Outpatient Services Center","5734 East Hope Lane",NA,"Globe","AZ","85501",NA,"naltrexone/vivitrol","04007","Gila","SAMHSA",c(-110.8138249, 33.4027201),-110.8138249,33.4027201
"7757","Choice Recovery Outpatient",NA,"531 East 770 North",NA,"Orem","UT","84097",NA,"naltrexone/vivitrol","49049","Utah","SAMHSA",c(-111.6819481, 40.3108986),-111.6819481,40.3108986
"7758","Steps Recovery Center","Orem Outpatient Services","901 South Orem Boulevard",NA,"Orem","UT","84058",NA,"naltrexone/vivitrol","49049","Utah","SAMHSA",c(-111.6894962, 40.2805261),-111.6894962,40.2805261
"7759","Jade Wellness Center",NA,"4105 Monroeville Boulevard",NA,"Monroeville","PA","15146",NA,"naltrexone/vivitrol","42003","Allegheny","SAMHSA",c(-79.7679921, 40.4352742),-79.7679921,40.4352742
"7760","Steps Recovery Center",NA,"984 South 930 West",NA,"Payson","UT","84651",NA,"naltrexone/vivitrol","49049","Utah","SAMHSA",c(-111.7487055, 40.0287255),-111.7487055,40.0287255
"7761","Triad Therapy",NA,"350 North Cox Street",NA,"Asheboro","NC","27203",NA,"naltrexone/vivitrol","37151","Randolph","SAMHSA",c(-79.8099732, 35.7097864),-79.8099732,35.7097864
"7762","Daymark Recovery Services","Montgomery Center","227 North Main Street","Suite A","Troy","NC","27371",NA,"naltrexone/vivitrol","37123","Montgomery","SAMHSA",c(-79.8940936, 35.3606345),-79.8940936,35.3606345
"7763","True North Recovery and Wellness Ctr",NA,"234 North Orem Boulevard",NA,"Orem","UT","84057",NA,"naltrexone/vivitrol","49049","Utah","SAMHSA",c(-111.698627, 40.30168),-111.698627,40.30168
"7764","Meridian Behavioral Healthcare Inc","Columbia County Campus","439 SW Michigan Street",NA,"Lake City","FL","32025","0440","naltrexone/vivitrol","12023","Columbia","SAMHSA",c(-82.6438287, 30.1568526),-82.6438287,30.1568526
"7765","Triad Behavioral Resources","Suboxone Treatment","232 Gilmer Street","Suite 202","Reidsville","NC","27320",NA,"naltrexone/vivitrol","37157","Rockingham","SAMHSA",c(-79.6654238, 36.3604951),-79.6654238,36.3604951
"7766","Renaissance Ranch","Womens Outpatient","591 West 800 North",NA,"Orem","UT","84057",NA,"naltrexone/vivitrol","49049","Utah","SAMHSA",c(-111.7098783, 40.3120311),-111.7098783,40.3120311
"7767","Papilion Integrated Recovery Center","Recovery Center (PIRC)","494 West 1400 North",NA,"Orem","UT","84057",NA,"naltrexone/vivitrol","49049","Utah","SAMHSA",c(-111.7077866, 40.3232003),-111.7077866,40.3232003
"7768","Reflections Recovery Center",NA,"145 South 200 East Street",NA,"Lindon","UT","84042",NA,"naltrexone/vivitrol","49049","Utah","SAMHSA",c(-111.710605, 40.334804),-111.710605,40.334804
"7769","Valley Behavioral Health","Highland Springs Specially Clinic","1875 South State Street","Suite 1000","Orem","UT","84097",NA,"naltrexone/vivitrol","49049","Utah","SAMHSA",c(-111.7152106, 40.3358407),-111.7152106,40.3358407
"7770","Ideal Option PLLC",NA,"2525 4th Avenue North","Suite A","Billings","MT","59101",NA,"naltrexone/vivitrol","30111","Yellowstone","SAMHSA",c(-108.5056375, 45.7862017),-108.5056375,45.7862017
"7771","Another Way Inc",NA,"708 Nelson Road",NA,"Farmington","PA","15437","1232","naltrexone/vivitrol","42051","Fayette","SAMHSA",c(-79.5758898, 39.8191604),-79.5758898,39.8191604
"7772","United Summit Center","John D Good Recovery Center","Route 3","Box 223","Terra Alta","WV","26764","7728","naltrexone/vivitrol","54077","Preston","SAMHSA",c(-79.519832, 39.437248),-79.519832,39.437248
"7773","Rimrock Foundation",NA,"1231 North 29th Street",NA,"Billings","MT","59101",NA,"naltrexone/vivitrol","30111","Yellowstone","SAMHSA",c(-108.5189216, 45.7942916),-108.5189216,45.7942916
"7774","Adas House",NA,"624 Avenue D",NA,"Billings","MT","59102",NA,"naltrexone/vivitrol","30111","Yellowstone","SAMHSA",c(-108.5318202, 45.7867485),-108.5318202,45.7867485
"7775","Community Medical Services","Billings","2040 Rosebud Drive","Suite 7","Billings","MT","59102",NA,"naltrexone/vivitrol","30111","Yellowstone","SAMHSA",c(-108.5681827, 45.7581234),-108.5681827,45.7581234
"7776","Suncrest Counseling",NA,"1062 East 220 South",NA,"American Fork","UT","84003",NA,"naltrexone/vivitrol","49049","Utah","SAMHSA",c(-111.7699603, 40.3720242),-111.7699603,40.3720242
"7777","Alpine Recovery Lodge",NA,"1018 East Oakhill Drive",NA,"Alpine","UT","84004",NA,"naltrexone/vivitrol","49049","Utah","SAMHSA",c(-111.760421, 40.446122),-111.760421,40.446122
"7778","Ascend Recovery","Lake House","6595 North 6000 West",NA,"American Fork","UT","84003",NA,"naltrexone/vivitrol","49049","Utah","SAMHSA",c(-111.802278, 40.350371),-111.802278,40.350371
"7779","Guidance Center",NA,"2187 North Vickey Street",NA,"Flagstaff","AZ","86004",NA,"naltrexone/vivitrol","04005","Coconino","SAMHSA",c(-111.6066842, 35.2067563),-111.6066842,35.2067563
"7780","Guidance Center",NA,"2695 East Industrial Drive",NA,"Flagstaff","AZ","86004",NA,"naltrexone/vivitrol","04005","Coconino","SAMHSA",c(-111.6076869, 35.205456),-111.6076869,35.205456
"7781","Ascend Recovery",NA,"6280 West 9600 North",NA,"American Fork","UT","84003",NA,"naltrexone/vivitrol","49049","Utah","SAMHSA",c(-111.8086501, 40.4065693),-111.8086501,40.4065693
"7782","Southwest Behavioral and Health Servs","Flagstaff ORS","1515 East Cedar Avenue","Suite E-2","Flagstaff","AZ","86004",NA,"naltrexone/vivitrol","04005","Coconino","SAMHSA",c(-111.620958, 35.217496),-111.620958,35.217496
"7783","Rubicon Family Counseling Center",NA,"510 East Carolina Avenue",NA,"Hartsville","SC","29550",NA,"naltrexone/vivitrol","45031","Darlington","SAMHSA",c(-80.0652575, 34.3777466),-80.0652575,34.3777466
"7784","Savannah Treatment Center","Metro Treatment of Georgia LP","145 Southern Boulevard","Suite B","Savannah","GA","31405",NA,"naltrexone/vivitrol","13051","Chatham","SAMHSA",c(-81.1526114, 32.0633126),-81.1526114,32.0633126
"7785","Gateway Rehab","Westmoreland","508 South Church Street","Suite 201","Mount Pleasant","PA","15666","1702","naltrexone/vivitrol","42129","Westmoreland","SAMHSA",c(-79.5493678, 40.1455885),-79.5493678,40.1455885
"7786","Flagstaff Medical Center","Behavioral Health Services","1200 North Beaver Street","2nd Floor West Campus","Flagstaff","AZ","86001",NA,"naltrexone/vivitrol","04005","Coconino","SAMHSA",c(-111.6439073, 35.2090049),-111.6439073,35.2090049
"7787","Cove Forge Behavioral Health System","Division of White Deer Run Inc","1921 West 8th Street",NA,"Erie","PA","16505",NA,"naltrexone/vivitrol","42049","Erie","SAMHSA",c(-80.1266546, 42.1113546),-80.1266546,42.1113546
"7788","Wasatch Recovery",NA,"8420 South Wasatch Boulevard",NA,"Salt Lake City","UT","84121",NA,"naltrexone/vivitrol","49035","Salt Lake","SAMHSA",c(-111.798635, 40.598453),-111.798635,40.598453
"7789","Turning Point Centers","Lone Peak","2961 East Turning Point Circle",NA,"Sandy","UT","84092",NA,"naltrexone/vivitrol","49035","Salt Lake","SAMHSA",c(-111.8089288, 40.5576734),-111.8089288,40.5576734
"7790","Turning Point Centers","Bell Canyon","2945 East Turning Point Circle",NA,"Sandy","UT","84092",NA,"naltrexone/vivitrol","49035","Salt Lake","SAMHSA",c(-111.8099173, 40.5573555),-111.8099173,40.5573555
"7791","Brighton Recovery Center","Brighton House LLC","2945 East Robidoux Road",NA,"Sandy","UT","84093",NA,"naltrexone/vivitrol","49035","Salt Lake","SAMHSA",c(-111.807556, 40.601225),-111.807556,40.601225
"7792","Community Bridges Inc","Payson Outpatient Services Center","803 West Main Street",NA,"Payson","AZ","85541",NA,"naltrexone/vivitrol","04007","Gila","SAMHSA",c(-111.3410704, 34.2312102),-111.3410704,34.2312102
"7793","Community Bridges Inc","Payson Outpatient Services Center 2","803 West Main Street",NA,"Payson","AZ","85541",NA,"naltrexone/vivitrol","04007","Gila","SAMHSA",c(-111.3410704, 34.2312102),-111.3410704,34.2312102
"7794","Mill Creek Community Hospital","Substance Abuse Services","5515 Peach Street",NA,"Erie","PA","16509",NA,"naltrexone/vivitrol","42049","Erie","SAMHSA",c(-80.0936931, 42.0739536),-80.0936931,42.0739536
"7795","SPHS Behavioral Health","Greensburg Area Office","203 South Maple Avenue",NA,"Greensburg","PA","15601",NA,"naltrexone/vivitrol","42129","Westmoreland","SAMHSA",c(-79.5425518, 40.3014838),-79.5425518,40.3014838
"7796","Safe Habor Behavior Health of UPMC","Hamot Addiction Medicine Services","1330 West 26th Street",NA,"Erie","PA","16508",NA,"naltrexone/vivitrol","42049","Erie","SAMHSA",c(-80.1026045, 42.1019838),-80.1026045,42.1019838
"7797","Pinnacle Recovery","Residential Center","6196 South Holladay Boulevard",NA,"Salt Lake City","UT","84121",NA,"naltrexone/vivitrol","49035","Salt Lake","SAMHSA",c(-111.8126177, 40.6382356),-111.8126177,40.6382356
"7798","Turning Point Treatment Center","Outpatient Services","150 Prospect Avenue","Suite 12","Franklin","PA","16323",NA,"naltrexone/vivitrol","42121","Venango","SAMHSA",c(-79.8339199, 41.4093697),-79.8339199,41.4093697
"7799","Recovery Place Inc","Recovery Square","466 MLK Boulevard",NA,"Savannah","GA","31401",NA,"naltrexone/vivitrol","13051","Chatham","SAMHSA",c(-81.1004418, 32.0719453),-81.1004418,32.0719453
"7800","Steps Recovery Center","Annies House","1601 East 13200 South",NA,"Draper","UT","84020",NA,"naltrexone/vivitrol","49035","Salt Lake","SAMHSA",c(-111.8465133, 40.5118678),-111.8465133,40.5118678
"7801","New Roads Behavioral Health",NA,"2450 East Fort Union Boulevard",NA,"Salt Lake City","UT","84121","3337","naltrexone/vivitrol","49035","Salt Lake","SAMHSA",c(-111.8208537, 40.6237184),-111.8208537,40.6237184
"7802","Papilion Integrated Recovery Center","Cottonwood Heights Location","6936 South Promenade Drive","Suite 101","Salt Lake City","UT","84121",NA,"naltrexone/vivitrol","49035","Salt Lake","SAMHSA",c(-111.8207605, 40.6251747),-111.8207605,40.6251747
"7803","Deer Hollow Recovery",NA,"1481 East Pioneer Road",NA,"Draper","UT","84020",NA,"naltrexone/vivitrol","49035","Salt Lake","SAMHSA",c(-111.8480786, 40.5272428),-111.8480786,40.5272428
"7804","Corner Canyon Recovery",NA,"1450 East Pioneer Road",NA,"Draper","UT","84020",NA,"naltrexone/vivitrol","49035","Salt Lake","SAMHSA",c(-111.849639, 40.5252475),-111.849639,40.5252475
"7805","Gaudenzia Inc",NA,"414 West 5th Street",NA,"Erie","PA","16507",NA,"naltrexone/vivitrol","42049","Erie","SAMHSA",c(-80.0953506, 42.1273262),-80.0953506,42.1273262
"7806","Turning Point Treatment Center",NA,"4849 U.S. Highway 322",NA,"Franklin","PA","16323",NA,"naltrexone/vivitrol","42121","Venango","SAMHSA",c(-79.8130838, 41.3773725),-79.8130838,41.3773725
"7807","Gaudenzia Inc","Dr Daniel S Snow Halfway House/MN","361 West 5th Street",NA,"Erie","PA","16507",NA,"naltrexone/vivitrol","42049","Erie","SAMHSA",c(-80.0940941, 42.1272195),-80.0940941,42.1272195
"7808","New Directions Healthcare",NA,"306 West 11th Street","2nd Floor","Erie","PA","16501",NA,"naltrexone/vivitrol","42049","Erie","SAMHSA",c(-80.0885092, 42.122582),-80.0885092,42.122582
"7809","Gaudenzia Inc","Erie Outpatient","141 West 11th Street",NA,"Erie","PA","16501",NA,"naltrexone/vivitrol","42049","Erie","SAMHSA",c(-80.0846151, 42.1232569),-80.0846151,42.1232569
"7810","Esper Treatment Center",NA,"25 West 18th Street",NA,"Erie","PA","16501",NA,"naltrexone/vivitrol","42049","Erie","SAMHSA",c(-80.0788657, 42.1181364),-80.0788657,42.1181364
"7811","Stairways Drug and Alcohol","Outpatient","2910 State Street",NA,"Erie","PA","16508",NA,"naltrexone/vivitrol","42049","Erie","SAMHSA",c(-80.0722149, 42.1089439),-80.0722149,42.1089439
"7812","Pyramid Healthcare Inc","Erie Outpatient","2409 State Street","Suite C","Erie","PA","16503","1856","naltrexone/vivitrol","42049","Erie","SAMHSA",c(-80.0741403, 42.1135478),-80.0741403,42.1135478
"7813","Gage House",NA,"1813 Holland Street",NA,"Erie","PA","16503","1809","naltrexone/vivitrol","42049","Erie","SAMHSA",c(-80.073651, 42.119522),-80.073651,42.119522
"7814","Community Health Association",NA,"1326 Highway 92","Suite J","Bisbee","AZ","85603",NA,"naltrexone/vivitrol","04003","Cochise","SAMHSA",c(-109.9301012, 31.3970758),-109.9301012,31.3970758
"7815","A New Direction","Recovery and Wellness","8686 South 1300 East",NA,"Sandy","UT","84094",NA,"naltrexone/vivitrol","49035","Salt Lake","SAMHSA",c(-111.8535515, 40.5934777),-111.8535515,40.5934777
"7816","Recovery Place Community Services","Substance Abuse Treatment Services","515 East 63rd Street",NA,"Savannah","GA","31405",NA,"naltrexone/vivitrol","13051","Chatham","SAMHSA",c(-81.0960763, 32.0325764),-81.0960763,32.0325764
"7817","Veterans Affairs Medical Center","Substance Abuse Treatment Program","135 East 38th Street",NA,"Erie","PA","16504",NA,"naltrexone/vivitrol","42049","Erie","SAMHSA",c(-80.0630454, 42.1020279),-80.0630454,42.1020279
"7818","Recovery Place Inc","PHP and IOP","835 East 65th Street","Suite 104","Savannah","GA","31405",NA,"naltrexone/vivitrol","13051","Chatham","SAMHSA",c(-81.095029, 32.030447),-81.095029,32.030447
"7819","Gateway Rehab","Greensburg","212 Outlet Way","Suite 1","Greensburg","PA","15601",NA,"naltrexone/vivitrol","42129","Westmoreland","SAMHSA",c(-79.5038798, 40.3066497),-79.5038798,40.3066497
"7820","MedMark Treatment Centers","Savannah","600 Commercial Court","Suite A","Savannah","GA","31406",NA,"naltrexone/vivitrol","13051","Chatham","SAMHSA",c(-81.1085313, 32.0056463),-81.1085313,32.0056463
"7821","Assisted Recovery Center of GA Inc",NA,"308 Commercial Drive","Suite 100","Savannah","GA","31406","3679","naltrexone/vivitrol","13051","Chatham","SAMHSA",c(-81.1083374, 32.0050379),-81.1083374,32.0050379
"7822","Turning Point","Freedom Center for Women","853 Allegheny Boulevard",NA,"Franklin","PA","16323",NA,"naltrexone/vivitrol","42121","Venango","SAMHSA",c(-79.796476, 41.40836),-79.796476,41.40836
"7823","Cold Creek Behavioral Health","Sober Living","4163 South Highland Drive","Suites 1-18","Salt Lake City","UT","84124",NA,"naltrexone/vivitrol","49035","Salt Lake","SAMHSA",c(-111.842815, 40.68108),-111.842815,40.68108
"7824","Cold Creek Behavioral Health","Outpatient Services","4141 South Highland Drive","Suite 202","Salt Lake City","UT","84124",NA,"naltrexone/vivitrol","49035","Salt Lake","SAMHSA",c(-111.8429317, 40.6817445),-111.8429317,40.6817445
"7825","University of Utah","Neuropsychiatric Inst Recovery Works","501 Chipeta Way",NA,"Salt Lake City","UT","84108",NA,"naltrexone/vivitrol","49035","Salt Lake","SAMHSA",c(-111.8236614, 40.7591075),-111.8236614,40.7591075
"7826","Sober Living Properties","Draper House","12736 South 300 East",NA,"Draper","UT","84020",NA,"naltrexone/vivitrol","49035","Salt Lake","SAMHSA",c(-111.8821736, 40.5199925),-111.8821736,40.5199925
"7827","Steps Recovery Center","Draper Outpatient","272 East 12200 South","Suite 200","Draper","UT","84020",NA,"naltrexone/vivitrol","49035","Salt Lake","SAMHSA",c(-111.8826161, 40.5282597),-111.8826161,40.5282597
"7828","Pathways Real Life Recovery",NA,"8706 South 700 East","Suite 205","Sandy","UT","84070",NA,"naltrexone/vivitrol","49035","Salt Lake","SAMHSA",c(-111.8725841, 40.5934721),-111.8725841,40.5934721
"7829","Turning Point Centers","Day Treatment and IOP","8375 South 700 East",NA,"Sandy","UT","84070",NA,"naltrexone/vivitrol","49035","Salt Lake","SAMHSA",c(-111.8712744, 40.5991043),-111.8712744,40.5991043
"7830","A/D Psychotherapy and Clinical Inc",NA,"8465 South 700 East",NA,"Sandy","UT","84070",NA,"naltrexone/vivitrol","49035","Salt Lake","SAMHSA",c(-111.8718333, 40.5974797),-111.8718333,40.5974797
"7831","Sober Living Properties","Millcreek Location","1027 East Millcreek Way",NA,"Salt Lake City","UT","84106",NA,"naltrexone/vivitrol","49035","Salt Lake","SAMHSA",c(-111.8487402, 40.6944213),-111.8487402,40.6944213
"7832","Next Level Recovery",NA,"6771 South 900 East",NA,"Midvale","UT","84047",NA,"naltrexone/vivitrol","49035","Salt Lake","SAMHSA",c(-111.865364, 40.628196),-111.865364,40.628196
"7833","Community Bridges Inc","Benson Inpatient","470 South Ocotillo Avenue",NA,"Benson","AZ","85602",NA,"naltrexone/vivitrol","04003","Cochise","SAMHSA",c(-110.3093686, 31.9644485),-110.3093686,31.9644485
"7834","Smart Medical",NA,"6337 South 900 East","Suite 250","Midvale","UT","84047",NA,"naltrexone/vivitrol","49035","Salt Lake","SAMHSA",c(-111.8659038, 40.6363684),-111.8659038,40.6363684
"7835","Deer Hollow Outpatient Services",NA,"12608 South 125 West","Suite E","Draper","UT","84020",NA,"naltrexone/vivitrol","49035","Salt Lake","SAMHSA",c(-111.8953318, 40.5222127),-111.8953318,40.5222127
"7836","Phoenix Recovery Center LLC","Draper","11762 South State Street","Suite 360","Draper","UT","84020",NA,"naltrexone/vivitrol","49035","Salt Lake","SAMHSA",c(-111.8922249, 40.5376198),-111.8922249,40.5376198
